TimeStamp;Hue;Brightness
1278710811139883;297;100
1278710844532306;0;0
1278710877797576;0;0
1278710911112460;0;0
1278710944486806;301;100
1278710977763537;301;100
1278711011092537;301;100
1278711044465114;302;100
1278711077736652;302;100
1278711111055768;301;100
1278711144386191;302;100
1278711177710614;303;100
1278711211041075;302;100
1278711244361691;304;100
1278711277688768;302;100
1278711311076498;303;100
1278711344330998;302;100
1278711377656345;302;100
1278711410981998;301;100
1278711444301229;302;100
1278711477627575;301;100
1278711510980806;302;100
1278711544271960;302;100
1278711577647421;300;100
1278711610926152;301;100
1278711644251344;302;100
1278711677574614;303;100
1278711710905229;303;100
1278711744225652;302;100
1278711777546190;301;100
1278711810875921;303;100
1278711844198075;302;100
1278711877521344;302;100
1278711910862460;301;100
1278711944167498;0;0
1278711977492075;0;0
1278712010817959;0;0
1278712044140113;302;100
1278712077516767;304;100
1278712110800575;302;100
1278712144117498;302;100
1278712177537075;303;100
1278712210836921;301;100
1278712244085921;301;100
1278712277413152;303;100
1278712310739229;302;100
1278712344065344;302;100
1278712377383767;301;100
1278712410797690;301;100
1278712444048651;301;100
1278712477355536;301;100
1278712510687344;300;100
1278712544008921;302;100
1278712577333190;301;100
1278712610653536;301;100
1278712643973921;301;100
1278712677366074;303;100
1278712710627228;303;100
1278712744020613;304;100
1278712777312074;301;100
1278712810601267;302;100
1278712843919113;302;100
1278712877249228;302;100
1278712910573613;303;100
1278712943892459;302;100
1278712977226690;303;100
1278713010551651;303;100
1278713043886459;0;0
1278713077196459;0;0
1278713110522266;0;0
1278713143878920;303;100
1278713177181536;303;100
1278713210496074;302;100
1278713243819843;301;100
1278713277140536;303;100
1278713310472228;303;100
1278713343785112;303;100
1278713377207266;302;100
1278713410520882;301;100
1278713443755958;302;100
1278713477115958;303;100
1278713510419343;303;100
1278713543734420;302;100
1278713577059074;302;100
1278713610385651;301;100
1278713643716189;302;100
1278713677033112;302;100
1278713710457189;302;100
1278713743695266;302;100
1278713777008920;301;100
1278713810323151;300;100
1278713843655227;304;100
1278713877003189;302;100
1278713910402612;302;100
1278713943624766;302;100
1278713976954766;303;100
1278714010270189;303;100
1278714043599035;303;100
1278714076925881;303;100
1278714110241458;304;100
1278714143567420;0;0
1278714176899766;0;0
1278714210220804;0;0
1278714243548112;306;100
1278714276867919;306;100
1278714310197919;306;100
1278714343511496;304;100
1278714376848112;306;100
1278714410217458;305;100
1278714443499035;305;100
1278714476816881;305;100
1278714510148765;303;100
1278714543459112;303;100
1278714576791188;306;100
1278714610110419;304;100
1278714643434150;305;100
1278714676759150;304;100
1278714710085458;304;100
1278714743411381;305;100
1278714776776688;304;100
1278714810053457;304;100
1278714843375265;305;100
1278714876700919;304;100
1278714910029150;302;100
1278714943352534;302;100
1278714976679150;306;100
1278715010005804;304;100
1278715043332111;304;100
1278715076655227;304;100
1278715109973265;305;100
1278715143294842;304;100
1278715176672880;303;100
1278715209947111;303;100
1278715243274188;0;0
1278715276598457;0;0
1278715309917803;0;0
1278715343242303;306;100
1278715376571957;306;100
1278715409904611;306;100
1278715443220226;305;100
1278715476543072;305;100
1278715509870342;304;100
