TimeStamp;Hue;Brightness;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
135054415417933;6;100;24999000;-4;437;1;17.036.726;3.0
135054449970016;6;100;24999000;-4;437;1;17.036.726;3.0
135054481788245;5;100;24999000;-4;437;1;17.036.726;3.0
135054514878349;5;100;24999000;-4;437;1;17.036.726;3.0
135054547574704;0;0;24999000;-4;437;1;17.036.726;3.0
135054582589287;0;0;24999000;-4;437;1;17.036.726;3.0
135054614702308;4;100;24999000;-4;437;1;17.036.726;3.0
135054647765329;7;100;24999000;-4;437;1;17.036.726;3.0
135054680491891;6;100;24999000;-4;437;1;17.036.726;3.0
135054716983558;6;100;24999000;-4;437;1;17.036.726;3.0
135054748164287;7;100;24999000;-4;437;1;17.036.726;3.0
135054782041370;6;100;24999000;-4;437;1;17.036.726;3.0
135054816189287;6;100;24999000;-4;437;1;17.036.726;3.0
135054849553349;6;100;24999000;-4;437;1;17.036.726;3.0
135054880963245;7;100;24999000;-4;437;1;17.036.726;3.0
135054916640328;6;100;24999000;-4;437;1;17.036.726;3.0
135054947917933;6;100;24999000;-4;437;1;17.036.726;3.0
135054980965849;6;100;24999000;-4;437;1;17.036.726;3.0
135055014309078;7;100;24999000;-4;437;1;17.036.726;3.0
135055048851266;6;100;24999000;-4;437;1;17.036.726;3.0
135055081368453;6;100;24999000;-4;437;1;17.036.726;3.0
135055114388766;7;100;24999000;-4;437;1;17.036.726;3.0
135055147901266;5;100;24999000;-4;437;1;17.036.726;3.0
135055181851787;6;100;24999000;-4;437;1;17.036.726;3.0
135055214629391;7;100;24999000;-4;437;1;17.036.726;3.0
135055247434599;6;100;24999000;-4;437;1;17.036.726;3.0
135055280547620;6;100;24999000;-4;437;1;17.036.726;3.0
135055313653870;6;100;24999000;-4;437;1;17.036.726;3.0
135055347260120;8;100;24999000;-4;437;1;17.036.726;3.0
135055380888245;6;100;24999000;-4;437;1;17.036.726;3.0
135055413536162;8;100;24999000;-4;437;1;17.036.726;3.0
135055447213766;7;100;24999000;-4;437;1;17.036.726;3.0
135055480266891;6;100;24999000;-4;437;1;17.036.726;3.0
135055513853349;7;100;24999000;-4;437;1;17.036.726;3.0
135055546524703;6;100;24999000;-4;437;1;17.036.726;3.0
135055580370016;5;100;24999000;-4;437;1;17.036.726;3.0
135055614271578;7;100;24999000;-4;437;1;17.036.726;3.0
135055648809078;0;0;24999000;-4;437;1;17.036.726;3.0
135055679693453;0;0;24999000;-4;437;1;17.036.726;3.0
135055713636683;9;100;24999000;-4;437;1;17.036.726;3.0
135055746924183;8;100;24999000;-4;437;1;17.036.726;3.0
135055780587203;8;100;24999000;-4;437;1;17.036.726;3.0
135055814053349;9;100;24999000;-4;437;1;17.036.726;3.0
135055846735120;9;100;24999000;-4;437;1;17.036.726;3.0
135055880485120;8;100;24999000;-4;437;1;17.036.726;3.0
135055913915849;8;100;24999000;-4;437;1;17.036.726;3.0
135055946330432;9;100;24999000;-4;437;1;17.036.726;3.0
135055979605432;8;100;24999000;-4;437;1;17.036.726;3.0
135056014783037;9;100;24999000;-4;437;1;17.036.726;3.0
135056046675224;8;100;24999000;-4;437;1;17.036.726;3.0
135056079759599;9;100;24999000;-4;437;1;17.036.726;3.0
135056113163245;9;100;24999000;-4;437;1;17.036.726;3.0
135056147268453;8;100;24999000;-4;437;1;17.036.726;3.0
135056180424703;9;100;24999000;-4;437;1;17.036.726;3.0
135056214546578;8;100;24999000;-4;437;1;17.036.726;3.0
135056247985120;9;100;24999000;-4;437;1;17.036.726;3.0
135056279492932;8;100;24999000;-4;437;1;17.036.726;3.0
135056315153870;7;100;24999000;-4;437;1;17.036.726;3.0
135056347456474;9;100;24999000;-4;437;1;17.036.726;3.0
135056381986162;8;100;24999000;-4;437;1;17.036.726;3.0
135056413642412;9;100;24999000;-4;437;1;17.036.726;3.0
135056447130432;8;100;24999000;-4;437;1;17.036.726;3.0
135056479721057;9;100;24999000;-4;437;1;17.036.726;3.0
135056512704391;9;100;24999000;-4;437;1;17.036.726;3.0
135056545932516;10;100;24999000;-4;437;1;17.036.726;3.0
135056579583037;10;100;24999000;-4;437;1;17.036.726;3.0
135056612246057;9;100;24999000;-4;437;1;17.036.726;3.0
135056648078349;9;100;24999000;-4;437;1;17.036.726;3.0
135056681436162;9;100;24999000;-4;437;1;17.036.726;3.0
135056712646578;9;100;24999000;-4;437;1;17.036.726;3.0
135056745676266;0;0;24999000;-4;437;1;17.036.726;3.0
135056778998662;0;0;24999000;-4;437;1;17.036.726;3.0
135056812331995;19;100;24999000;-4;437;1;17.036.726;3.0
135056844905953;8;100;24999000;-4;437;1;17.036.726;3.0
135056878516891;9;100;24999000;-4;437;1;17.036.726;3.0
135056912764287;9;100;24999000;-4;437;1;17.036.726;3.0
135056945065328;9;100;24999000;-4;437;1;17.036.726;3.0
135056978531995;8;100;24999000;-4;437;1;17.036.726;3.0
135057011669495;10;100;24999000;-4;437;1;17.036.726;3.0
135057044556995;10;100;24999000;-4;437;1;17.036.726;3.0
135057077989807;10;100;24999000;-4;437;1;17.036.726;3.0
135057120295536;9;100;24999000;-4;437;1;17.036.726;3.0
