TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
1269757026034290;19990000;-19;100;1;12.830.445;4.806
1269757059297370;19990000;-19;100;1;12.830.445;4.806
1269757092736020;19990000;-19;100;1;12.830.445;4.806
1269757126102100;19990000;-19;100;1;12.830.445;4.806
1269757159304830;19990000;-19;100;1;12.830.445;4.806
1269757192712260;19990000;-19;100;1;12.830.445;4.806
1269757226079790;19990000;-19;100;1;12.830.445;4.806
1269757259247790;19990000;-19;100;1;12.830.445;4.806
1269757292584020;19990000;-19;100;1;12.830.445;4.806
1269757325948680;19990000;-19;100;1;12.830.445;4.806
1269757359230600;19990000;-19;100;1;12.830.445;4.806
1269757392554220;19990000;-19;100;1;12.830.445;4.806
1269757425934760;19990000;-19;100;1;12.830.445;4.806
1269757459316410;19990000;-19;100;1;12.830.445;4.806
1269757492575450;19990000;-19;100;1;12.830.445;4.806
1269757525853140;19990000;-19;100;1;12.830.445;4.806
1269757559175330;19990000;-19;100;1;12.830.445;4.806
1269757592607020;19990000;-19;100;1;12.830.445;4.806
1269757625817790;19990000;-19;100;1;12.830.445;4.806
1269757659242490;19990000;-19;100;1;12.830.445;4.806
1269757692464520;19990000;-19;100;1;12.830.445;4.806
1269757725789290;19990000;-19;100;1;12.830.445;4.806
1269757759109220;19990000;-19;100;1;12.830.445;4.806
1269757792547020;19990000;-19;100;1;12.830.445;4.806
1269757825756870;19990000;-19;100;1;12.830.445;4.806
1269757859191140;19990000;-19;100;1;12.830.445;4.806
1269757892408720;19990000;-19;100;1;12.830.445;4.806
1269757925740720;19990000;-19;100;1;12.830.445;4.806
1269757959160680;19990000;-19;100;1;12.830.445;4.806
1269757992380100;19990000;-19;100;1;12.830.445;4.806
1269758025715640;19990000;-19;100;1;12.830.445;4.806
1269758059030750;19990000;-19;100;1;12.830.445;4.806
1269758092455140;19990000;-19;100;1;12.830.445;4.806
1269758125679990;19990000;-19;100;1;12.830.445;4.806
1269758159077790;19990000;-19;100;1;12.830.445;4.806
1269758192473450;19990000;-19;100;1;12.830.445;4.806
1269758225651990;19990000;-19;100;1;12.830.445;4.806
1269758258981180;19990000;-19;100;1;12.830.445;4.806
1269758292409640;19990000;-19;100;1;12.830.445;4.806
1269758325634140;19990000;-19;100;1;12.830.445;4.806
1269758359070140;19990000;-19;100;1;12.830.445;4.806
1269758392269330;19990000;-19;100;1;12.830.445;4.806
1269758425596640;19990000;-19;100;1;12.830.445;4.806
1269758459013600;19990000;-19;100;1;12.830.445;4.806
1269758492254520;19990000;-19;100;1;12.830.445;4.806
1269758525596520;19990000;-19;100;1;12.830.445;4.806
1269758558900060;19990000;-19;100;1;12.830.445;4.806
1269758592217060;19990000;-19;100;1;12.830.445;4.806
1269758625547790;19990000;-19;100;1;12.830.445;4.806
1269758658970410;19990000;-19;100;1;12.830.445;4.806
1269758692295720;19990000;-19;100;1;12.830.445;4.806
1269758725520330;19990000;-19;100;1;12.830.445;4.806
1269758758925140;19990000;-19;100;1;12.830.445;4.806
